41Zip Code,Place Name,State,County,Lat,Long
42501,Holtsville,NY,Suffolk,40.8154,-73.0451
42544,Holtsville,NY,Suffolk,40.8154,-73.0451
391001,Agawam,MA,Hampden,42.0702,-72.6227
421002,Amherst,MA,Hampshire,42.3671,-72.4646
421003,Amherst,MA,Hampshire,42.3919,-72.5248
421004,Amherst,MA,Hampshire,42.3845,-72.5132
401005,Barre,MA,Worcester,42.4097,-72.1084
451007,Belchertown,MA,Hampshire,42.2751,-72.411
421008,Blandford,MA,Hampden,42.1829,-72.9361
431009,Bondsville,MA,Hampden,42.2061,-72.3405
421010,Brimfield,MA,Hampden,42.1165,-72.1885
401011,Chester,MA,Hampden,42.2794,-72.9888
471012,Chesterfield,MA,Hampshire,42.3923,-72.8256
411013,Chicopee,MA,Hampden,42.1487,-72.6079
411014,Chicopee,MA,Hampden,42.1707,-72.6048
411020,Chicopee,MA,Hampden,42.1764,-72.5761
411021,Chicopee,MA,Hampden,42.1707,-72.6048
411022,Chicopee,MA,Hampden,42.1934,-72.5544
451026,Cummington,MA,Hampshire,42.4633,-72.9202
451027,Easthampton,MA,Hampshire,42.2668,-72.669
481028,East Longmeadow,MA,Hampden,42.0672,-72.5056
441029,East Otis,MA,Berkshire,42.1909,-73.0517
461030,Feeding Hills,MA,Hampden,42.0718,-72.6751
471031,Gilbertville,MA,Worcester,42.3322,-72.1986
411032,Goshen,MA,Hampshire,42.4404,-72.7995
391033,Granby,MA,Hampshire,42.2557,-72.52
411034,Granville,MA,Hampden,42.1127,-72.952
411035,Hadley,MA,Hampshire,42.3606,-72.5715
401036,Hampden,MA,Hampden,42.0648,-72.4318
431037,Hardwick,MA,Worcester,42.3479,-72.2253
431038,Hatfield,MA,Hampshire,42.3844,-72.6167
461039,Haydenville,MA,Hampshire,42.3818,-72.7032
391040,Holyoke,MA,Hampden,42.202,-72.6262
401041,Holyoke,MA,Hampden,42.2043,-72.6162
451050,Huntington,MA,Hampshire,42.2653,-72.8733
401053,Leeds,MA,Hampshire,42.3543,-72.7034
421054,Leverett,MA,Franklin,42.4682,-72.4993
381056,Ludlow,MA,Hampden,42.1728,-72.471
381057,Monson,MA,Hampden,42.101,-72.3196
481059,North Amherst,MA,Hampshire,42.4104,-72.5309
461060,Northampton,MA,Hampshire,42.3223,-72.6313
451061,Northampton,MA,Hampshire,42.3696,-72.636
431062,Florence,MA,Hampshire,42.3219,-72.6928
461063,Northampton,MA,Hampshire,42.3179,-72.6402
